type,round,home_team,away_team,home_goal_diff,away_goal_diff,home_red_diff,away_red_diff
card changed [red:away],1,UTC,Deportivo Garcilaso,0,0,0,1
card changed [red:away],1,UTC,Deportivo Garcilaso,0,0,0,1
goal [awarded:away],1,FBC Melgar,Cusco FC,0,1,0,0
goal [awarded:home],1,Sporting Cristal,ADT,1,0,0,0
penalty [awarded-scored:away],1,Sporting Cristal,ADT,0,1,0,0
card changed [red:away],1,Atletico Grau,Alianza Atletico,0,0,0,1
goal [cancelled:home],1,Los Chankas,Union Comercio,-1,0,0,0
goal [cancelled:home],2,Cusco FC,UTC,-1,0,0,0
penalty [awarded-scored:home],2,Cesar Vallejo,FBC Melgar,1,0,0,0
penalty [checked-no-penalty:away],2,Cesar Vallejo,FBC Melgar,0,0,0,0
card reviewed [yellow:away],2,Cesar Vallejo,FBC Melgar,0,0,0,0
goal [cancelled:home],2,ADT,Cienciano,-1,0,0,0
penalty [awarded-missed:home],2,ADT,Cienciano,0,0,0,0
goal [awarded:away],2,Union Comercio,Carlos A. Mannucci,0,1,0,0
card changed [red:home],2,Universitario,Atletico Grau,0,0,1,0
goal [cancelled:away],2,Universitario,Atletico Grau,0,-1,0,0
penalty [awarded-missed:away],2,Alianza Atletico,Alianza Lima,0,0,0,0
penalty [cancelled:home],2,Alianza Atletico,Alianza Lima,0,0,0,0
card changed [yellow:home],2,Deportivo Garcilaso,Sport Huancayo,0,0,-1,0
penalty [awarded-scored:home],3,UTC,Cesar Vallejo,1,0,0,0
penalty [awarded-scored:away],3,Cienciano,Sporting Cristal,0,1,0,0
goal [cancelled:away],3,FBC Melgar,Alianza Atletico,0,-1,0,0
penalty [awarded-scored:home],3,FBC Melgar,Alianza Atletico,1,0,0,0
penalty [awarded-missed:away],3,Carlos A. Mannucci,Comerciantes Unidos,0,0,0,0
card changed [red:home],3,Alianza Lima,Universitario,0,0,1,0
goal [cancelled:home],3,Alianza Lima,Universitario,-1,0,0,0
card changed [yellow:away],3,Los Chankas,ADT,0,0,0,-1
card changed [red:away],3,Sport Boys,Deportivo Garcilaso,0,0,0,1
penalty [awarded-missed:home],3,Sport Boys,Deportivo Garcilaso,0,0,0,0
penalty [awarded-missed:home],3,Sport Boys,Deportivo Garcilaso,0,0,0,0
penalty [awarded-scored:home],3,Sport Boys,Deportivo Garcilaso,0,0,1,0
penalty [awarded-missed:home],3,Atletico Grau,Union Comercio,0,0,0,0
card changed [red:away],4,Cusco FC,Deportivo Garcilaso,0,0,0,1
goal [cancelled:home],4,Cusco FC,Deportivo Garcilaso,-1,0,0,0
goal [cancelled:home],4,Cusco FC,Deportivo Garcilaso,-1,0,0,0
penalty [awarded-scored:home],4,Universitario,FBC Melgar,1,0,0,0
card reviewed [yellow:away],4,Cienciano,Sport Boys,0,0,0,0
goal [awarded:home],4,Cienciano,Sport Boys,1,0,0,0
penalty [checked-no-penalty:home],4,Comerciantes Unidos,Atletico Grau,0,0,0,0
goal [checked-goal:home],5,Sport Huancayo,Alianza Atletico,0,0,0,0
goal [checked-no-goal:home],5,Sport Huancayo,Alianza Atletico,0,0,0,0
goal [cancelled:home],5,Sport Huancayo,Alianza Atletico,-1,0,0,0
card changed [red:home],5,Sport Boys,Cusco FC,0,0,1,0
goal [awarded:home],5,FBC Melgar,Union Comercio,1,0,0,0
goal [awarded:away],5,Carlos A. Mannucci,Sporting Cristal,0,1,0,0
penalty [checked-no-penalty:home],5,Atletico Grau,ADT,0,0,0,0
penalty [awarded-missed:away],5,Atletico Grau,ADT,0,0,0,0
penalty [awarded-missed:home],6,Alianza Atletico,Deportivo Garcilaso,0,0,0,0
goal [awarded:home],6,Alianza Atletico,Deportivo Garcilaso,1,0,0,0
card changed [red:away],6,Alianza Atletico,Deportivo Garcilaso,0,0,0,1
card changed [no-red:away],6,Universitario,Sport Huancayo,0,0,0,-1
goal [cancelled:away],6,Cesar Vallejo,Cusco FC,0,-1,0,0
card changed [red:home],6,Cesar Vallejo,Cusco FC,0,0,1,0
goal [awarded:away],6,Cienciano,Carlos A. Mannucci,0,1,0,0
penalty [awarded-scored:away],7,UTC,Comerciantes Unidos,0,1,0,0
penalty [awarded-scored:away],7,UTC,Comerciantes Unidos,0,1,0,0
card reviewed [yellow:home],7,UTC,Comerciantes Unidos,0,0,0,0
penalty [awarded-scored:away],7,Deportivo Garcilaso,Universitario,0,1,0,0
goal [awarded:home],7,Deportivo Garcilaso,Universitario,1,0,0,0
goal [cancelled:away],7,FBC Melgar,ADT,0,-1,0,0
goal [awarded:away],7,FBC Melgar,ADT,0,1,0,0
penalty [awarded-scored:home],7,Alianza Lima,Sporting Cristal,1,0,0,0
goal [awarded:home],7,Sport Boys,Cesar Vallejo,1,0,0,0
goal [awarded:home],7,Sport Huancayo,Union Comercio,1,0,0,0
card reviewed [yellow:away],8,Universitario,Cusco FC,0,0,0,0
card changed [yellow:home],8,Cienciano,Alianza Lima,0,0,-1,0
card changed [red:away],8,Cienciano,Alianza Lima,0,0,0,1
penalty [checked-no-penalty:home],8,Sporting Cristal,FBC Melgar,0,0,0,0
penalty [checked-no-penalty:home],8,Alianza Atletico,Cesar Vallejo,0,0,0,0
