round,home_team,away_team,home_goals,away_goals,home_red,away_red
1,UTC,Deportivo Garcilaso,1,0,0,2
1,Carlos A. Mannucci,Universitario,4,0,0,0
1,FBC Melgar,Cusco FC,2,3,0,0
1,Sporting Cristal,ADT,6,2,0,0
1,Sport Huancayo,Sport Boys,1,0,0,0
1,Cienciano,Comerciantes Unidos,1,0,1,0
1,Atletico Grau,Alianza Atletico,1,1,0,1
1,Alianza Lima,Cesar Vallejo,2,1,1,1
1,Los Chankas,Union Comercio,2,1,0,1
2,Cusco FC,UTC,1,1,0,0
2,Cesar Vallejo,FBC Melgar,3,2,0,0
2,ADT,Cienciano,1,1,0,1
2,Union Comercio,Carlos A. Mannucci,2,2,0,1
2,Universitario,Atletico Grau,1,0,1,0
2,Alianza Atletico,Alianza Lima,0,2,1,0
2,Sport Boys,Sporting Cristal,1,3,0,0
2,Deportivo Garcilaso,Sport Huancayo,0,2,1,0
2,Comerciantes Unidos,Los Chankas,3,2,0,0
3,UTC,Cesar Vallejo,4,0,0,0
3,Cienciano,Sporting Cristal,2,2,0,0
3,FBC Melgar,Alianza Atletico,1,0,1,1
3,Carlos A. Mannucci,Comerciantes Unidos,1,3,0,0
3,Alianza Lima,Universitario,0,1,2,0
3,Los Chankas,ADT,2,0,0,0
3,Sport Boys,Deportivo Garcilaso,2,0,0,1
3,Sport Huancayo,Cusco FC,2,0,0,1
3,Atletico Grau,Union Comercio,1,0,0,0
4,Sporting Cristal,Los Chankas,4,1,0,0
4,Alianza Atletico,UTC,2,0,0,0
4,ADT,Carlos A. Mannucci,4,0,0,1
4,Cusco FC,Deportivo Garcilaso,1,0,0,2
4,Universitario,FBC Melgar,2,0,0,0
4,Union Comercio,Alianza Lima,1,3,1,0
4,Cienciano,Sport Boys,3,2,0,0
4,Cesar Vallejo,Sport Huancayo,1,1,0,0
4,Comerciantes Unidos,Atletico Grau,2,2,0,0
5,Sport Huancayo,Alianza Atletico,4,0,0,0
5,Sport Boys,Cusco FC,3,0,1,0
5,UTC,Universitario,0,0,0,0
5,FBC Melgar,Union Comercio,2,1,0,0
5,Carlos A. Mannucci,Sporting Cristal,0,4,0,0
5,Atletico Grau,ADT,2,2,0,0
