team,points,wins,draw,losses,goals_for,goals_against
Universitario,43,13,4,1,38,7
FBC Melgar,41,13,2,3,39,19
Sporting Cristal,40,13,1,4,45,23
Alianza Lima,36,12,0,6,35,18
ADT,31,9,4,5,32,25
Cienciano,29,7,8,3,22,21
Cusco FC,29,9,2,7,22,24
Los Chankas,24,7,3,8,27,27
Sport Boys,22,6,4,8,20,21
Comerciantes Unidos,22,6,4,8,23,33
Atletico Grau,20,4,8,6,19,17
Cesar Vallejo,20,4,8,6,21,27
Sport Huancayo,19,5,4,9,19,31
Deportivo Garcilaso,17,4,5,9,21,26
UTC,16,4,4,10,21,30
Alianza Atletico,15,3,6,9,11,19
Carlos A. Mannucci,14,3,5,10,11,40
Union Comercio,9,1,6,11,18,36
